,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
647,Gaga Slonina,us USA,GK,Chicago Fire,18-107,2004,27,27,2430,27.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,c55a846e
648,Brad Smith,au AUS,DF,D.C. United,28-143,1994,16,14,1148,12.8,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,0.6,0.6,2.0,2.6,0.04,0.16,0.20,0.04,0.20,Matches,c76c717c
649,Kimarni Smith,eng ENG,DFFW,D.C. United,24-169,1998,13,2,277,3.1,1,1,1,0,0,0,0,0.32,0.32,0.65,0.32,0.65,0.7,0.7,0.2,0.9,0.22,0.07,0.29,0.22,0.29,Matches,bbbb244b
650,Kyle Smith,us USA,DF,Orlando City,30-233,1992,22,11,1128,12.5,1,0,1,0,0,4,0,0.08,0.00,0.08,0.08,0.08,0.4,0.4,0.2,0.7,0.03,0.02,0.05,0.03,0.05,Matches,9e6b2ec3
651,Jan Sobociński,pl POL,DF,Charlotte,23-163,1999,6,3,284,3.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,5358009d
652,Santiago Sosa,ar ARG,MF,Atlanta Utd,23-119,1999,15,9,888,9.9,1,0,1,0,0,4,0,0.10,0.00,0.10,0.10,0.10,0.6,0.6,0.5,1.1,0.06,0.05,0.11,0.06,0.11,Matches,f080dd22
653,Ryan Spaulding,us USA,DF,New England,23-354,1998,5,2,210,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches,9fda5cd3
654,Steven Sserwadda,ug UGA,MF,NY Red Bulls,20-002,2002,2,0,29,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,Matches,bddc8df4
655,Dayne St. Clair,ca CAN,GK,Minnesota Utd,25-113,1997,25,25,2250,25.0,0,1,0,0,0,1,0,0.00,0.04,0.04,0.00,0.04,0.0,0.0,0.4,0.4,0.00,0.02,0.02,0.00,0.02,Matches,3f41d25f
656,Mason Stajduhar,us USA,GK,Orlando City,24-271,1997,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,f01df62c
657,Daniel Steres,us USA,DF,Houston Dynamo,31-292,1990,17,13,1253,13.9,1,1,1,0,0,5,0,0.07,0.07,0.14,0.07,0.14,0.7,0.7,0.3,1.0,0.05,0.02,0.07,0.05,0.07,Matches,17c03c76
658,Jared Stroud,us USA,MFFW,Austin,26-051,1996,5,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,5d018899
659,Brad Stuver,us USA,GK,Austin,31-136,1991,24,24,2078,23.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,6a1940d5
660,Quinn Sullivan,us USA,FWMF,Philadelphia,18-156,2004,14,1,222,2.5,1,0,1,0,0,1,0,0.41,0.00,0.41,0.41,0.41,0.2,0.2,0.3,0.4,0.06,0.12,0.18,0.06,0.18,Matches,92f62cfe
661,Ben Sweat,us USA,DF,Sporting KC,30-360,1991,15,13,1082,12.0,0,2,0,0,0,4,0,0.00,0.17,0.17,0.00,0.17,0.4,0.4,0.9,1.3,0.04,0.07,0.11,0.04,0.11,Matches,6937b1ac
662,Karol Świderski,pl POL,FW,Charlotte,25-219,1997,24,24,2032,22.6,8,3,8,0,0,2,0,0.35,0.13,0.49,0.35,0.49,6.5,6.5,2.6,9.1,0.29,0.11,0.40,0.29,0.40,Matches,41723204
663,Nkosi Tafari,,,FC Dallas,25-160,1997,1,0,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches,6110edbb
664,Nkosi Tafari,us USA,DF,FC Dallas,25-171,1997,22,8,999,11.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.5,0.02,0.02,0.04,0.02,0.04,Matches,4a07ae31
665,Ismael Tajouri-Shradi,ly LBY,FWMF,Los Angeles FC,28-155,1994,6,0,167,1.9,2,0,2,0,0,0,0,1.08,0.00,1.08,1.08,1.08,0.6,0.6,0.4,1.0,0.32,0.22,0.54,0.32,0.54,Matches,ef4249ff
666,Andrew Tarbell,us USA,GK,Austin,28-327,1993,4,3,352,3.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,c5487a34
667,D.J. Taylor,us USA,DF,Minnesota Utd,25-004,1997,19,16,1457,16.2,1,2,1,0,0,3,0,0.06,0.12,0.19,0.06,0.19,0.2,0.2,1.2,1.5,0.01,0.08,0.09,0.01,0.09,Matches,ed4dc7f4
668,Robert Taylor,fi FIN,FWMF,Inter Miami,27-313,1994,26,21,1766,19.6,3,0,3,0,0,1,0,0.15,0.00,0.15,0.15,0.15,3.5,3.5,2.7,6.2,0.18,0.14,0.32,0.18,0.32,Matches,1fc0973f
669,Russell Teibert,ca CAN,MF,Vancouver,29-251,1992,23,19,1640,18.2,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.6,1.4,0.05,0.03,0.08,0.05,0.08,Matches,674befe9
670,Carlos Terán,co COL,DF,Chicago Fire,21-340,2000,16,13,1134,12.6,1,0,1,0,0,5,0,0.08,0.00,0.08,0.08,0.08,0.8,0.8,0.0,0.8,0.06,0.00,0.06,0.06,0.06,Matches,324509e2
671,Dylan Teves,us USA,FWMF,Seattle,22-108,2000,3,1,85,0.9,1,0,1,0,0,0,0,1.06,0.00,1.06,1.06,1.06,0.4,0.4,0.0,0.4,0.38,0.00,0.38,0.38,0.38,Matches,f68ed3ba
672,Thiago,br BRA,FW,NYCFC,21-303,2000,26,12,1162,12.9,5,2,5,0,0,1,0,0.39,0.15,0.54,0.39,0.54,5.1,5.1,2.0,7.1,0.40,0.15,0.55,0.40,0.55,Matches,6adb0b79
673,Erik Thommy,de GER,MF,Sporting KC,28-010,1994,6,5,438,4.9,2,0,2,0,0,0,0,0.41,0.00,0.41,0.41,0.41,1.0,1.0,0.3,1.4,0.21,0.07,0.28,0.21,0.28,Matches,df8e7b62
674,Kosi Thompson,ca CAN,DFMF,Toronto FC,19-215,2003,22,17,1508,16.8,1,1,1,0,0,1,0,0.06,0.06,0.12,0.06,0.12,0.6,0.6,1.3,1.9,0.04,0.08,0.12,0.04,0.12,Matches,517bef8b
675,Tommy Thompson,us USA,DF,San Jose,27-015,1995,21,10,977,10.9,1,2,1,0,0,1,0,0.09,0.18,0.28,0.09,0.28,1.3,1.3,0.6,1.9,0.12,0.05,0.17,0.12,0.17,Matches,5f6c69d8
676,Anton Tinnerholm,se SWE,DF,NYCFC,31-185,1991,7,4,439,4.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.0,1.1,0.03,0.20,0.23,0.03,0.23,Matches,0fe96099
677,John Tolkin,us USA,DF,NY Red Bulls,20-030,2002,26,26,2294,25.5,1,3,1,0,0,7,0,0.04,0.12,0.16,0.04,0.16,1.5,1.5,2.0,3.5,0.06,0.08,0.14,0.06,0.14,Matches,5e88c524
678,Nouhou Tolo,cm CMR,DF,Seattle,25-068,1997,24,22,1982,22.0,0,1,0,0,0,5,0,0.00,0.05,0.05,0.00,0.05,0.7,0.7,1.2,1.9,0.03,0.06,0.09,0.03,0.09,Matches,0796512f
679,Facundo Torres,uy URU,FWMF,Orlando City,22-139,2000,26,24,2057,22.9,5,6,5,0,0,1,0,0.22,0.26,0.48,0.22,0.48,3.4,3.4,4.1,7.5,0.15,0.18,0.33,0.15,0.33,Matches,4de3b2c0
680,Jairo Torres,mx MEX,FWMF,Chicago Fire,22-056,2000,14,6,687,7.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.5,1.4,0.11,0.07,0.18,0.11,0.18,Matches,7ed56490
681,Joaquín Torres,ar ARG,MFFW,CF Montréal,25-214,1997,23,13,1124,12.5,3,2,3,0,0,3,0,0.24,0.16,0.40,0.24,0.40,2.2,2.2,1.6,3.8,0.18,0.13,0.30,0.18,0.30,Matches,c82dcb70
682,Dantouma Toure,gn GUI,FWMF,Colorado Rapids,18-079,2004,5,0,38,0.4,1,0,1,0,0,1,0,2.37,0.00,2.37,2.37,2.37,0.4,0.4,0.0,0.4,1.05,0.00,1.05,1.05,1.05,Matches,b5d2014f
683,Mason Toye,us USA,FW,CF Montréal,23-318,1998,11,5,470,5.2,2,0,2,0,0,0,0,0.38,0.00,0.38,0.38,0.38,2.2,2.2,0.0,2.2,0.41,0.00,0.41,0.41,0.41,Matches,0aa41f67
684,Wil Trapp,us USA,MF,Minnesota Utd,29-227,1993,20,18,1511,16.8,0,0,0,0,0,10,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.3,0.01,0.01,0.02,0.01,0.02,Matches,9bf9391c
685,Daniel Trejo,us USA,FW,Los Angeles FC,24-123,1998,3,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.20,0.42,0.61,0.20,0.61,Matches,1312c534
686,Auston Trusty,us USA,DF,Colorado Rapids,24-018,1998,16,16,1439,16.0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.4,1.4,0.06,0.03,0.09,0.06,0.09,Matches,cddf767b
687,Niko Tsakiris,us USA,MF,San Jose,17-072,2005,5,0,110,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.08,0.02,0.10,0.08,0.10,Matches,cb501677
688,Bill Tuiloma,nz NZL,DF,Portland Timbers,27-156,1995,24,18,1715,19.1,5,1,5,0,0,5,1,0.26,0.05,0.31,0.26,0.31,3.2,3.2,0.4,3.7,0.17,0.02,0.19,0.17,0.19,Matches,bf547c54
689,Matt Turner,us USA,GK,New England,28-067,1994,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,4a51ba65
690,Ema Twumasi,gh GHA,DF,FC Dallas,25-104,1997,26,20,1765,19.6,0,1,0,0,0,5,0,0.00,0.05,0.05,0.00,0.05,0.9,0.9,1.0,1.9,0.04,0.05,0.10,0.04,0.10,Matches,9ca4b140
691,Marinos Tzionis,cy CYP,MFFW,Sporting KC,21-045,2001,24,5,689,7.7,1,0,1,0,0,0,0,0.13,0.00,0.13,0.13,0.13,1.0,1.0,0.5,1.6,0.13,0.07,0.20,0.13,0.20,Matches,b004076a
692,Mikael Uhre,dk DEN,FW,Philadelphia,27-334,1994,21,15,1187,13.2,9,2,9,0,0,0,0,0.68,0.15,0.83,0.68,0.83,6.4,6.4,2.2,8.6,0.48,0.17,0.65,0.48,0.65,Matches,be84c466
693,Þorleifur Úlfarsson,is ISL,FW,Houston Dynamo,21-246,2000,25,11,1129,12.5,4,1,4,0,0,3,0,0.32,0.08,0.40,0.32,0.40,5.2,5.2,0.8,5.9,0.41,0.06,0.47,0.41,0.47,Matches,7e1046fa
694,Victor Ulloa,us USA,MFDF,Inter Miami,30-179,1992,16,3,329,3.7,0,1,0,0,0,0,0,0.00,0.27,0.27,0.00,0.27,0.4,0.4,0.7,1.1,0.12,0.19,0.31,0.12,0.31,Matches,e7056f05
695,Maximiliano Urruti,ar ARG,FW,Austin,31-189,1991,26,24,1898,21.1,9,0,9,0,0,5,0,0.43,0.00,0.43,0.43,0.43,5.1,5.1,1.1,6.2,0.24,0.05,0.29,0.24,0.29,Matches,6c8fb474
696,Júnior Urso,br BRA,MFFW,Orlando City,33-173,1989,27,23,2012,22.4,4,3,4,0,0,4,0,0.18,0.13,0.31,0.18,0.31,5.3,5.3,1.5,6.8,0.24,0.07,0.30,0.24,0.30,Matches,b40424f1
697,Jhojan Valencia,co COL,MF,Austin,26-034,1996,10,2,293,3.3,0,1,0,0,0,4,0,0.00,0.31,0.31,0.00,0.31,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,Matches,3fbe573e
698,Zarek Valentin,pr PUR,DF,Houston Dynamo,31-024,1991,4,3,281,3.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches,f0d23e7b
699,Gustavo Vallecilla,ec ECU,DF,Colorado Rapids,23-094,1999,10,6,478,5.3,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.03,0.01,0.04,0.03,0.04,Matches,2ce88662
700,José Van Rankin,mx MEX,DF,Portland Timbers,29-108,1993,23,23,1879,20.9,1,0,1,0,0,10,2,0.05,0.00,0.05,0.05,0.05,0.7,0.7,0.9,1.6,0.04,0.04,0.08,0.04,0.08,Matches,09ce2ebe
701,Kerwin Vargas,co COL,FWMF,Charlotte,20-240,2002,8,3,284,3.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.3,0.8,0.16,0.11,0.27,0.16,0.27,Matches,758de7b4
702,Obed Vargas,us USA,MF,Seattle,17-025,2005,13,10,851,9.5,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.6,0.02,0.04,0.06,0.02,0.06,Matches,9cc1fde4
703,Indiana Vassilev,us USA,FWMF,Inter Miami,21-195,2001,17,10,848,9.4,2,0,2,0,0,2,0,0.21,0.00,0.21,0.21,0.21,2.0,2.0,0.6,2.6,0.21,0.06,0.28,0.21,0.28,Matches,04e195ee
704,Brandon Vazquez,us USA,FW,FC Cincinnati,23-320,1998,26,25,2183,24.3,16,4,16,0,0,1,0,0.66,0.16,0.82,0.66,0.82,13.0,13.0,2.6,15.6,0.54,0.11,0.64,0.54,0.64,Matches,c570cf22
705,Víctor Vázquez,es ESP,MFFW,LA Galaxy,35-222,1987,19,11,846,9.4,2,2,2,0,0,2,0,0.21,0.21,0.43,0.21,0.43,1.2,1.2,2.0,3.2,0.13,0.21,0.34,0.13,0.34,Matches,6c564d36
706,Carlos Vela,mx MEX,FWMF,Los Angeles FC,33-182,1989,25,22,1903,21.1,8,7,6,2,2,2,0,0.38,0.33,0.71,0.28,0.61,6.3,4.8,6.1,10.8,0.30,0.29,0.58,0.23,0.51,Matches,e0cd04e0
707,Alan Velasco,ar ARG,FW,FC Dallas,20-034,2002,24,22,1817,20.2,5,4,5,0,0,7,0,0.25,0.20,0.45,0.25,0.45,3.7,3.7,4.4,8.1,0.19,0.22,0.40,0.19,0.40,Matches,16349210
708,Matías Vera,ar ARG,MF,Houston Dynamo,26-308,1995,22,22,1716,19.1,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.8,0.03,0.01,0.04,0.03,0.04,Matches,fe529f25
709,Ranko Veselinović,rs SRB,DF,Vancouver,23-159,1999,25,25,2230,24.8,1,1,1,0,0,4,0,0.04,0.04,0.08,0.04,0.08,1.2,1.2,0.5,1.7,0.05,0.02,0.07,0.05,0.07,Matches,366609b6
710,Pedro Vite,ec ECU,MFFW,Vancouver,20-174,2002,18,9,733,8.1,0,1,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,0.1,0.1,1.4,1.5,0.01,0.17,0.18,0.01,0.18,Matches,9c146b36
711,Robert Voloder,ba BIH,DF,Sporting KC,21-113,2001,9,6,576,6.4,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches,33d9d789
712,Giacomo Vrioni,al ALB,FW,New England,23-319,1998,2,0,60,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.70,0.00,0.70,0.70,0.70,Matches,bf4d31d3
713,Nikola Vujnović,me MNE,FW,Sporting KC,25-231,1997,9,4,334,3.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.3,1.0,0.20,0.07,0.27,0.20,0.27,Matches,128d62ba
714,Kai Wagner,de GER,DF,Philadelphia,25-196,1997,28,28,2520,28.0,0,6,0,0,0,4,0,0.00,0.21,0.21,0.00,0.21,0.9,0.9,6.0,7.0,0.03,0.22,0.25,0.03,0.25,Matches,fdc715d9
715,Anton Walkes,eng ENG,DF,Charlotte,25-203,1997,17,15,1266,14.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.03,0.00,0.03,0.03,0.03,Matches,8a062bba
716,Rémi Walter,fr FRA,MF,Sporting KC,27-126,1995,28,28,2451,27.2,3,1,3,0,0,2,0,0.11,0.04,0.15,0.11,0.15,0.8,0.8,1.6,2.4,0.03,0.06,0.09,0.03,0.09,Matches,0984c5d5
717,Victor Wanyama,ke KEN,MF,CF Montréal,31-066,1991,25,24,2090,23.2,0,1,0,0,0,7,0,0.00,0.04,0.04,0.00,0.04,0.8,0.8,1.6,2.5,0.04,0.07,0.11,0.04,0.11,Matches,e0900238
718,Collen Warner,us USA,MF,Colorado Rapids,34-067,1988,14,6,630,7.0,1,0,1,0,0,2,0,0.14,0.00,0.14,0.14,0.14,1.3,1.3,0.1,1.5,0.19,0.02,0.21,0.19,0.21,Matches,75babbce
719,Taylor Washington,us USA,DF,Nashville,29-014,1993,13,6,594,6.6,0,1,0,0,0,3,0,0.00,0.15,0.15,0.00,0.15,0.0,0.0,0.9,0.9,0.01,0.13,0.14,0.01,0.14,Matches,480d3bcc
720,Joel Waterman,ca CAN,DF,CF Montréal,26-218,1996,23,23,2055,22.8,3,1,3,0,0,10,0,0.13,0.04,0.18,0.13,0.18,2.1,2.1,0.5,2.6,0.09,0.02,0.11,0.09,0.11,Matches,47ddcc22
721,Quentin Westberg,us USA,GK,Toronto FC,36-127,1986,6,6,540,6.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,5480ae05
722,Brian White,us USA,FW,Vancouver,26-208,1996,20,13,1190,13.2,3,0,3,0,0,1,0,0.23,0.00,0.23,0.23,0.23,3.2,3.2,1.3,4.4,0.24,0.10,0.34,0.24,0.34,Matches,54c948de
723,Caleb Wiley,us USA,DFFW,Atlanta Utd,17-251,2004,20,16,1338,14.9,1,1,1,0,0,1,0,0.07,0.07,0.13,0.07,0.13,1.4,1.4,2.1,3.4,0.09,0.14,0.23,0.09,0.23,Matches,64796fe0
724,Derrick Williams,ie IRL,DF,LA Galaxy,29-225,1993,21,19,1717,19.1,0,1,0,0,0,6,0,0.00,0.05,0.05,0.00,0.05,1.1,1.1,1.2,2.3,0.06,0.06,0.12,0.06,0.12,Matches,c0a28fbd
725,Josh Williams,us USA,DF,Columbus Crew,34-134,1988,17,12,1090,12.1,0,1,0,0,0,0,0,0.00,0.08,0.08,0.00,0.08,0.5,0.5,0.5,1.1,0.04,0.04,0.09,0.04,0.09,Matches,06098bfc
726,Thomas Williams,us USA,DF,Orlando City,18-015,2004,4,2,181,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,d46d1cdd
727,Eryk Williamson,us USA,MF,Portland Timbers,25-080,1997,18,10,893,9.9,0,4,0,0,0,7,0,0.00,0.40,0.40,0.00,0.40,0.2,0.2,2.1,2.3,0.02,0.21,0.23,0.02,0.23,Matches,e0364352
728,Joe Willis,us USA,GK,Nashville,34-020,1988,26,26,2340,26.0,0,1,0,0,0,0,0,0.00,0.04,0.04,0.00,0.04,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Matches,467f09c8
729,Danny Wilson,sct SCO,DF,Colorado Rapids,30-246,1991,21,21,1755,19.5,0,1,0,0,0,7,0,0.00,0.05,0.05,0.00,0.05,1.1,1.1,0.2,1.3,0.06,0.01,0.07,0.06,0.07,Matches,9cfe9254
730,Owen Wolff,us USA,FWMF,Austin,17-243,2004,19,9,764,8.5,0,1,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,0.5,0.5,1.8,2.3,0.06,0.21,0.27,0.06,0.27,Matches,9edc70d6
731,Tyler Wolff,us USA,FWMF,Atlanta Utd,19-198,2003,5,4,253,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.4,0.10,0.05,0.15,0.10,0.15,Matches,0985c282
732,Bobby Wood,us USA,FW,Real Salt Lake,29-288,1992,14,13,983,10.9,3,1,3,0,0,0,0,0.27,0.09,0.37,0.27,0.37,4.1,4.1,0.3,4.4,0.37,0.03,0.40,0.37,0.40,Matches,9853983f
733,Darren Yapi,us USA,FW,Colorado Rapids,17-284,2004,6,0,44,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,63abd734
734,William Yarbrough,us USA,GK,Colorado Rapids,33-163,1989,27,27,2384,26.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.01,0.01,0.00,0.01,Matches,ec646e88
735,Dru Yearwood,eng ENG,MF,NY Red Bulls,22-194,2000,23,17,1452,16.1,2,1,2,0,0,4,0,0.12,0.06,0.19,0.12,0.19,0.7,0.7,1.0,1.7,0.05,0.06,0.11,0.05,0.11,Matches,2eb09121
736,Steffen Yeattes,ca CAN,MF,Toronto FC,22-238,2000,2,0,33,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,bf89f7a7
737,Yaw Yeboah,gh GHA,FW,Columbus Crew,25-155,1997,16,10,776,8.6,0,1,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,1.5,1.5,2.6,4.1,0.18,0.30,0.48,0.18,0.48,Matches,36292031
738,DeAndre Yedlin,us USA,DF,Inter Miami,29-052,1993,27,26,2368,26.3,0,2,0,0,0,5,0,0.00,0.08,0.08,0.00,0.08,0.2,0.2,1.9,2.1,0.01,0.07,0.08,0.01,0.08,Matches,ae0a7ddf
739,Griffin Yow,us USA,MFFW,D.C. United,19-339,2002,7,3,271,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.7,0.12,0.11,0.23,0.12,0.23,Matches,ddd5cf39
740,Jackson Yueill,us USA,MFDF,San Jose,25-164,1997,25,25,2227,24.7,4,1,4,0,0,5,0,0.16,0.04,0.20,0.16,0.20,1.5,1.5,1.1,2.6,0.06,0.04,0.11,0.06,0.11,Matches,7dce16bf
741,Abdoul Zanne,ci CIV,MF,D.C. United,19-193,2003,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.93,0.00,0.93,0.93,0.93,Matches,e5b49f0e
742,Gyasi Zardes,us USA,FW,Columbus Crew,30-362,1991,7,1,206,2.3,1,0,1,0,0,0,0,0.44,0.00,0.44,0.44,0.44,2.2,2.2,0.2,2.4,0.95,0.08,1.03,0.95,1.03,Matches,09ae7f92
743,Gyasi Zardes,us USA,FW,Colorado Rapids,30-362,1991,19,18,1516,16.8,7,2,6,1,1,0,0,0.42,0.12,0.53,0.36,0.47,9.2,8.5,1.8,10.3,0.55,0.11,0.66,0.50,0.61,Matches,09ae7f92
744,Eriq Zavaleta,sv SLV,DF,LA Galaxy,30-028,1992,4,3,205,2.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.02,0.02,0.01,0.02,Matches,edbfbb3f
745,Sean Zawadzki,us USA,MF,Columbus Crew,22-131,2000,5,4,289,3.2,1,0,1,0,0,0,0,0.31,0.00,0.31,0.31,0.31,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches,380ee265
746,Zeca,br BRA,DF,Houston Dynamo,28-106,1994,19,12,1128,12.5,0,1,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,0.2,0.2,0.9,1.1,0.01,0.07,0.09,0.01,0.09,Matches,c816eea6
747,Gedion Zelalem,us USA,MF,NYCFC,25-216,1997,8,0,86,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.04,0.04,0.00,0.04,Matches,b15ac68f
748,Lucas Zelarayán,am ARM,MFFW,Columbus Crew,30-071,1992,22,19,1750,19.4,8,5,7,1,1,3,0,0.41,0.26,0.67,0.36,0.62,4.2,3.5,6.1,9.6,0.22,0.31,0.53,0.18,0.49,Matches,3ce30893
749,Walker Zimmerman,us USA,DF,Nashville,29-103,1993,25,23,2117,23.5,2,1,2,0,0,5,0,0.09,0.04,0.13,0.09,0.13,2.4,2.4,1.2,3.6,0.10,0.05,0.15,0.10,0.15,Matches,220fa883
750,Rida Zouhir,ca CAN,MF,CF Montréal,18-280,2003,4,1,114,1.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.5,0.6,0.09,0.40,0.48,0.09,0.48,Matches,e1e65f24
751,Ethan Zubak,us USA,FW,Nashville,24-137,1998,10,2,200,2.2,0,1,0,0,0,2,0,0.00,0.45,0.45,0.00,0.45,0.4,0.4,0.2,0.6,0.18,0.07,0.25,0.18,0.25,Matches,9f39b6cf
752,Dario Župarić,ba BIH,DF,Portland Timbers,30-119,1992,25,19,1743,19.4,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.5,0.02,0.01,0.03,0.02,0.03,Matches,c6f99e42
753,Graham Zusi,us USA,DF,Sporting KC,36-012,1986,19,18,1502,16.7,1,1,1,0,0,1,0,0.06,0.06,0.12,0.06,0.12,0.4,0.4,1.5,2.0,0.02,0.09,0.12,0.02,0.12,Matches,9ba42447
754,Róbert Þorkelsson,is ISL,DFMF,CF Montréal,20-149,2002,8,0,118,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03,Matches,0eb8ad80
