,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
193,Christopher Donovan,us USA,FWMF,Philadelphia,22-022,2000,5,1,104,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.07,0.16,0.23,0.07,0.23,Matches,8f995d10
194,Griffin Dorsey,us USA,DF,Houston Dynamo,23-178,1999,21,13,1104,12.3,0,1,0,0,0,5,0,0.00,0.08,0.08,0.00,0.08,0.4,0.4,0.5,0.9,0.03,0.04,0.07,0.03,0.07,Matches,c182ca04
195,Hassani Dotson,us USA,DFMF,Minnesota Utd,25-024,1997,7,7,630,7.0,1,2,1,0,0,1,0,0.14,0.29,0.43,0.14,0.43,0.8,0.8,0.5,1.3,0.12,0.07,0.19,0.12,0.19,Matches,8f2af1ed
196,Sebastián Driussi,ar ARG,MFFW,Austin,26-202,1996,27,26,2329,25.9,19,5,16,3,3,6,0,0.73,0.19,0.93,0.62,0.81,11.9,9.7,4.4,14.1,0.46,0.17,0.63,0.37,0.54,Matches,60e86875
197,Bryce Duke,us USA,MF,Inter Miami,21-183,2001,21,12,1100,12.2,1,3,1,0,0,5,0,0.08,0.25,0.33,0.08,0.33,2.1,2.1,1.7,3.8,0.17,0.14,0.31,0.17,0.31,Matches,59557625
198,Cameron Duke,us USA,MFDF,Sporting KC,21-198,2001,24,12,1174,13.0,0,2,0,0,0,5,1,0.00,0.15,0.15,0.00,0.15,1.4,1.4,1.7,3.2,0.11,0.13,0.24,0.11,0.24,Matches,c679d9fd
199,Kyle Duncan,us USA,DF,NY Red Bulls,25-022,1997,4,4,312,3.5,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.04,0.05,0.09,0.04,0.09,Matches,575e6cb1
200,Jhon Durán,co COL,FW,Chicago Fire,18-260,2003,20,8,791,8.8,3,3,3,0,0,6,1,0.34,0.34,0.68,0.34,0.68,3.8,3.8,1.8,5.5,0.43,0.20,0.63,0.43,0.63,Matches,414184f7
201,Chris Durkin,us USA,MF,D.C. United,22-203,2000,22,18,1725,19.2,1,2,1,0,0,4,1,0.05,0.10,0.16,0.05,0.16,0.8,0.8,2.2,3.0,0.04,0.11,0.16,0.04,0.16,Matches,0ffd4373
202,Dom Dwyer,us USA,FW,Atlanta Utd,32-031,1990,17,1,365,4.1,4,0,4,0,0,4,1,0.99,0.00,0.99,0.99,0.99,3.0,3.0,0.4,3.4,0.73,0.10,0.83,0.73,0.83,Matches,bdfc15f8
203,Jeremy Ebobisse,us USA,FW,San Jose,25-197,1997,27,27,2341,26.0,14,1,13,1,1,0,0,0.54,0.04,0.58,0.50,0.54,12.7,12.0,1.6,13.6,0.49,0.06,0.55,0.46,0.52,Matches,5fa7b2ec
204,Daniel Edelman,us USA,MF,NY Red Bulls,19-124,2003,10,4,453,5.0,1,0,1,0,0,1,0,0.20,0.00,0.20,0.20,0.20,0.3,0.3,0.1,0.4,0.06,0.03,0.08,0.06,0.08,Matches,a8de0bd5
205,Javier Eduardo López,mx MEX,MFFW,San Jose,27-347,1994,4,3,234,2.6,1,0,1,0,0,0,0,0.38,0.00,0.38,0.38,0.38,0.1,0.1,0.1,0.3,0.06,0.06,0.11,0.06,0.11,Matches,f851b52f
206,Earl Edwards Jr.,us USA,GK,New England,30-218,1992,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,10f6f942
207,Raheem Edwards,ca CAN,DF,LA Galaxy,27-046,1995,23,21,1826,20.3,0,3,0,0,0,3,0,0.00,0.15,0.15,0.00,0.15,0.9,0.9,1.9,2.8,0.04,0.09,0.14,0.04,0.14,Matches,b828d56a
208,Tom Edwards,eng ENG,DF,NY Red Bulls,23-220,1999,20,19,1656,18.4,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,1.0,1.4,0.03,0.05,0.08,0.03,0.08,Matches,1b780599
209,Jack Elliott,eng ENG,DF,Philadelphia,27-005,1995,26,26,2330,25.9,1,1,1,0,0,2,0,0.04,0.04,0.08,0.04,0.08,2.6,2.6,0.0,2.6,0.10,0.00,0.10,0.10,0.10,Matches,041deebd
